age;sex;region;income;married;children;car;save_act;current_act;mortgage;pep
22;M;rural;8877.07;no;0;no;no;yes;no;yes
19;M;rural;10953;yes;3;yes;yes;yes;no;no
22;M;rural;12640.3;no;2;yes;yes;yes;no;no
29;M;city;13106.6;no;2;no;yes;yes;yes;no
50;F;city;13283.9;no;1;yes;yes;yes;no;no
36;F;rural;13381;no;0;yes;no;yes;no;yes
20;M;city;13740;no;2;yes;yes;yes;yes;no
27;F;city;15538.8;no;0;yes;yes;yes;yes;no
44;F;city;15735.8;yes;1;no;yes;yes;yes;yes
20;F;city;16325.8;yes;2;no;yes;no;no;no
50;M;city;16497.3;yes;2;no;yes;yes;no;no
51;F;city;16575.4;yes;0;yes;yes;yes;no;no
48;F;city;17546;no;1;no;no;no;no;yes
37;F;city;17729.8;yes;2;no;no;no;yes;no
47;F;rural;17867.3;yes;2;yes;yes;no;no;no
43;F;city;18504.3;yes;0;yes;yes;yes;no;no
36;M;rural;19474.6;yes;0;no;yes;yes;yes;no
27;F;city;19868;yes;2;no;yes;yes;no;no
39;F;city;20114;yes;1;no;no;yes;no;yes
23;F;city;20375.4;yes;3;no;no;yes;no;no
45;M;rural;20809.7;yes;0;no;yes;yes;yes;no
38;F;city;22342.1;yes;0;yes;yes;yes;yes;no
31;M;city;22522.8;yes;0;yes;yes;yes;no;no
61;F;rural;22942.9;yes;2;no;yes;yes;no;no
45;M;rural;23443.2;yes;1;yes;yes;yes;no;yes
54;M;city;24212.1;yes;2;yes;yes;yes;no;no
61;M;rural;24270.1;yes;1;no;no;yes;no;yes
58;M;city;24946.6;yes;0;yes;yes;yes;no;yes
37;F;rural;25304.3;yes;2;yes;no;no;no;yes
66;F;rural;25391.5;no;2;no;no;yes;no;no
52;F;city;26658.8;no;0;yes;yes;yes;yes;no
55;M;city;26774.2;yes;0;no;no;yes;yes;yes
62;F;city;26909.2;yes;0;no;yes;no;no;yes
47;F;city;26952.6;yes;0;yes;no;yes;no;no
32;F;city;27571.5;yes;0;yes;no;yes;yes;no
39;F;city;29359.1;no;3;yes;no;yes;yes;yes
33;F;city;29921.3;no;3;yes;yes;no;no;yes
40;M;city;30085.1;yes;3;yes;no;yes;yes;yes
43;M;rural;37521.9;no;0;no;yes;yes;no;yes
57;F;city;37869.6;yes;2;no;yes;yes;no;yes
54;M;city;38446.6;yes;0;no;yes;yes;no;no
52;M;city;39547.8;no;2;yes;no;yes;no;yes
46;F;rural;41016;yes;0;no;yes;no;yes;no
56;M;rural;41034;yes;0;yes;yes;yes;yes;no
57;F;rural;50576.3;yes;0;no;yes;no;no;no
64;M;city;52670.6;yes;2;no;yes;yes;yes;yes
66;F;city;55204.7;yes;1;yes;yes;yes;yes;yes
67;M;city;55716.5;no;2;yes;yes;no;no;yes
61;M;rural;57880.7;yes;2;no;yes;no;no;yes
66;F;city;59803.9;yes;0;no;yes;yes;no;no
