year,exp,imp
1700-01-01,33320.67076,71264.82213
1705-01-01,41203.25228,75195.8598
1710-01-01,59358.92507,82679.08317
1715-01-01,77121.90421,87398.58405
1720-01-01,76306.27028,96860.14262
1725-01-01,73123.70875,101974.9004
1730-01-01,64795.11747,97601.44159
1735-01-01,60819.47884,93230.03337
1740-01-01,65534.87848,93203.37532
1745-01-01,74207.46118,92388.76671
1750-01-01,77740.166,89993.13042
1755-01-01,80881.71514,80881.71514
1757-01-01,93907.76313,76911.7157
1760-01-01,119191.3894,76898.38668
1765-01-01,146442.0726,78459.4208
1770-01-01,162620.4354,83569.05205
1775-01-01,176431.3581,90657.53116
1780-01-01,184705.0953,92214.46404
